Energy_eV,Li6_barn,Li7_barn,B10_barn,Gd155_barn,Gd157_barn,H1_barn,O16_barn
4.124385e-05,2.324710e+04,1.124743e+00,9.519402e+04,1.214264e+06,4.776291e+06,8.225011e+00,4.706363e-03
4.183240e-05,2.308060e+04,1.116687e+00,9.451222e+04,1.205788e+06,4.742946e+06,8.166040e+00,4.672655e-03
4.242935e-05,2.292024e+04,1.108928e+00,9.385558e+04,1.197312e+06,4.709601e+06,8.107658e+00,4.640191e-03
4.303482e-05,2.275988e+04,1.101170e+00,9.319895e+04,1.188837e+06,4.676256e+06,8.051316e+00,4.607727e-03
4.364892e-05,2.259953e+04,1.093411e+00,9.254231e+04,1.180361e+06,4.642911e+06,7.994974e+00,4.575263e-03
4.427180e-05,2.243917e+04,1.085652e+00,9.188567e+04,1.172032e+06,4.610143e+06,7.938632e+00,4.542799e-03
4.490356e-05,2.227882e+04,1.077893e+00,9.122903e+04,1.163850e+06,4.577952e+06,7.882290e+00,4.510335e-03
4.554433e-05,2.212115e+04,1.070265e+00,9.058341e+04,1.155667e+06,4.545761e+06,7.825949e+00,4.478416e-03
4.619425e-05,2.196805e+04,1.062857e+00,8.995650e+04,1.147485e+06,4.513571e+06,7.770342e+00,4.447422e-03
4.685344e-05,2.181496e+04,1.055450e+00,8.932959e+04,1.139303e+06,4.481380e+06,7.716308e+00,4.416427e-03
4.752204e-05,2.166186e+04,1.048043e+00,8.870267e+04,1.131309e+06,4.449929e+06,7.662275e+00,4.385433e-03
4.820018e-05,2.150876e+04,1.040635e+00,8.807576e+04,1.123391e+06,4.418781e+06,7.608242e+00,4.354439e-03
4.888800e-05,2.135567e+04,1.033228e+00,8.744885e+04,1.115474e+06,4.387632e+06,7.554209e+00,4.323444e-03
4.958563e-05,2.120257e+04,1.025820e+00,8.682194e+04,1.107556e+06,4.356484e+06,7.500176e+00,4.292450e-03
5.029322e-05,2.104956e+04,1.018417e+00,8.619536e+04,1.099693e+06,4.325548e+06,7.447072e+00,4.261473e-03
5.101091e-05,2.090256e+04,1.011304e+00,8.559342e+04,1.092017e+06,4.295347e+06,7.395291e+00,4.231713e-03
5.173884e-05,2.075556e+04,1.004192e+00,8.499148e+04,1.084340e+06,4.265146e+06,7.343510e+00,4.201953e-03
5.247715e-05,2.060856e+04,9.970796e-01,8.438954e+04,1.076663e+06,4.234945e+06,7.291729e+00,4.172194e-03
5.322600e-05,2.046156e+04,9.899671e-01,8.378760e+04,1.068988e+06,4.204750e+06,7.239948e+00,4.142434e-03
5.398554e-05,2.031983e+04,9.831095e-01,8.320722e+04,1.061532e+06,4.175415e+06,7.188167e+00,4.113740e-03
5.475591e-05,2.017857e+04,9.762749e-01,8.262879e+04,1.054075e+06,4.146079e+06,7.137120e+00,4.085143e-03
5.553728e-05,2.003731e+04,9.694402e-01,8.205036e+04,1.046619e+06,4.116744e+06,7.087809e+00,4.056545e-03
5.632980e-05,1.989605e+04,9.626056e-01,8.147192e+04,1.039168e+06,4.087431e+06,7.038497e+00,4.027947e-03
5.713363e-05,1.975480e+04,9.557710e-01,8.089349e+04,1.031913e+06,4.058891e+06,6.989185e+00,3.999350e-03
5.794892e-05,1.961354e+04,9.489364e-01,8.031506e+04,1.024658e+06,4.030351e+06,6.939873e+00,3.970752e-03
5.877586e-05,1.947228e+04,9.421018e-01,7.973662e+04,1.017404e+06,4.001811e+06,6.890562e+00,3.942155e-03
5.961459e-05,1.933634e+04,9.355242e-01,7.917995e+04,1.010220e+06,3.973549e+06,6.841250e+00,3.914633e-03
6.046529e-05,1.920218e+04,9.290332e-01,7.863059e+04,1.003236e+06,3.946076e+06,6.791938e+00,3.887473e-03
6.132813e-05,1.906802e+04,9.225421e-01,7.808123e+04,9.962531e+05,3.918602e+06,6.744086e+00,3.860313e-03
6.220329e-05,1.893386e+04,9.160511e-01,7.753188e+04,9.892697e+05,3.891129e+06,6.697183e+00,3.833152e-03
6.309093e-05,1.879971e+04,9.095601e-01,7.698252e+04,9.822862e+05,3.863655e+06,6.650281e+00,3.805992e-03
6.399124e-05,1.866555e+04,9.030690e-01,7.643316e+04,9.753028e+05,3.836182e+06,6.603378e+00,3.778832e-03
6.490440e-05,1.853139e+04,8.965780e-01,7.588381e+04,9.683194e+05,3.808708e+06,6.556475e+00,3.751672e-03
6.583058e-05,1.839929e+04,8.901864e-01,7.534287e+04,9.614265e+05,3.781591e+06,6.509572e+00,3.724928e-03
6.676999e-05,1.827092e+04,8.839755e-01,7.481722e+04,9.547659e+05,3.755388e+06,6.463042e+00,3.698940e-03
6.772280e-05,1.814256e+04,8.777645e-01,7.429156e+04,9.481053e+05,3.729185e+06,6.418345e+00,3.672952e-03
6.868920e-05,1.801419e+04,8.715535e-01,7.376591e+04,9.414446e+05,3.702982e+06,6.373648e+00,3.646964e-03
6.966940e-05,1.788582e+04,8.653425e-01,7.324025e+04,9.347840e+05,3.676779e+06,6.328952e+00,3.620976e-03
7.066359e-05,1.775901e+04,8.592068e-01,7.272097e+04,9.281234e+05,3.650576e+06,6.284255e+00,3.595302e-03
7.167196e-05,1.763558e+04,8.532350e-01,7.221555e+04,9.214627e+05,3.624373e+06,6.239558e+00,3.570315e-03
7.269472e-05,1.751215e+04,8.472631e-01,7.171013e+04,9.150640e+05,3.599201e+06,6.194861e+00,3.545327e-03
7.373207e-05,1.738873e+04,8.412913e-01,7.120471e+04,9.086853e+05,3.574107e+06,6.150165e+00,3.520339e-03
7.478423e-05,1.726530e+04,8.353195e-01,7.069929e+04,9.023065e+05,3.549013e+06,6.107714e+00,3.495352e-03
7.585140e-05,1.714187e+04,8.293476e-01,7.019387e+04,8.959278e+05,3.523919e+06,6.065264e+00,3.470364e-03
7.693381e-05,1.701982e+04,8.234426e-01,6.969411e+04,8.895491e+05,3.498825e+06,6.022814e+00,3.445656e-03
7.803165e-05,1.690159e+04,8.177219e-01,6.920995e+04,8.831959e+05,3.473831e+06,5.980364e+00,3.421719e-03
7.914517e-05,1.678336e+04,8.120012e-01,6.872579e+04,8.770660e+05,3.449717e+06,5.937915e+00,3.397782e-03
8.027457e-05,1.666512e+04,8.062806e-01,6.824162e+04,8.709362e+05,3.425603e+06,5.895465e+00,3.373845e-03
8.142009e-05,1.654689e+04,8.005599e-01,6.775746e+04,8.648064e+05,3.401488e+06,5.853015e+00,3.349909e-03
8.258196e-05,1.642865e+04,7.948392e-01,6.727330e+04,8.586766e+05,3.377374e+06,5.811676e+00,3.325972e-03
8.376041e-05,1.631131e+04,7.891617e-01,6.679280e+04,8.525468e+05,3.353260e+06,5.771058e+00,3.302216e-03
8.495567e-05,1.619792e+04,7.836756e-01,6.632849e+04,8.465769e+05,3.329775e+06,5.730439e+00,3.279260e-03
8.616799e-05,1.608453e+04,7.781895e-01,6.586418e+04,8.406690e+05,3.306533e+06,5.689821e+00,3.256305e-03
8.739761e-05,1.597114e+04,7.727033e-01,6.539986e+04,8.347611e+05,3.283292e+06,5.649203e+00,3.233349e-03
8.864477e-05,1.585775e+04,7.672172e-01,6.493555e+04,8.288532e+05,3.260051e+06,5.609470e+00,3.210394e-03
8.990974e-05,1.574436e+04,7.617311e-01,6.447124e+04,8.229452e+05,3.236810e+06,5.570415e+00,3.187439e-03
9.119275e-05,1.563329e+04,7.563570e-01,6.401642e+04,8.171810e+05,3.214134e+06,5.531360e+00,3.164952e-03
9.249407e-05,1.552503e+04,7.511193e-01,6.357313e+04,8.114726e+05,3.191678e+06,5.492306e+00,3.143036e-03
9.381397e-05,1.541678e+04,7.458815e-01,6.312983e+04,8.057643e+05,3.169222e+06,5.453251e+00,3.121120e-03
9.515270e-05,1.530852e+04,7.406438e-01,6.268654e+04,8.000559e+05,3.146766e+06,5.414196e+00,3.099204e-03
9.651053e-05,1.520027e+04,7.354060e-01,6.224325e+04,7.943566e+05,3.124346e+06,5.375992e+00,3.077288e-03
9.788773e-05,1.509202e+04,7.301683e-01,6.179996e+04,7.888288e+05,3.102601e+06,5.338580e+00,3.055372e-03
9.928460e-05,1.498376e+04,7.249305e-01,6.135666e+04,7.833010e+05,3.080856e+06,5.301168e+00,3.033455e-03
1.007014e-04,1.487591e+04,7.197123e-01,6.091502e+04,7.777732e+05,3.059111e+06,5.263756e+00,3.011621e-03
1.021384e-04,1.477197e+04,7.146832e-01,6.048939e+04,7.722454e+05,3.037365e+06,5.226344e+00,2.990578e-03
1.035959e-04,1.466803e+04,7.096541e-01,6.006376e+04,7.668280e+05,3.016055e+06,5.188932e+00,2.969535e-03
1.050742e-04,1.456408e+04,7.046250e-01,5.963813e+04,7.614648e+05,2.994957e+06,5.152188e+00,2.948492e-03
1.065736e-04,1.446014e+04,6.995959e-01,5.921250e+04,7.561016e+05,2.973859e+06,5.116310e+00,2.927448e-03
1.080945e-04,1.436024e+04,6.947625e-01,5.880343e+04,7.507384e+05,2.952762e+06,5.080432e+00,2.907224e-03
1.096370e-04,1.426036e+04,6.899298e-01,5.839441e+04,7.454577e+05,2.931988e+06,5.044554e+00,2.887002e-03
1.112015e-04,1.416047e+04,6.850971e-01,5.798540e+04,7.402451e+05,2.911484e+06,5.008676e+00,2.866781e-03
1.127883e-04,1.406059e+04,6.802643e-01,5.757639e+04,7.350325e+05,2.890979e+06,4.972798e+00,2.846559e-03
1.143978e-04,1.396070e+04,6.754316e-01,5.716737e+04,7.298200e+05,2.870474e+06,4.938060e+00,2.826337e-03
1.160303e-04,1.386082e+04,6.705989e-01,5.675836e+04,7.246977e+05,2.850324e+06,4.903806e+00,2.806116e-03
1.176860e-04,1.376093e+04,6.657662e-01,5.634934e+04,7.196239e+05,2.830366e+06,4.869552e+00,2.785894e-03
1.193654e-04,1.366521e+04,6.611345e-01,5.595735e+04,7.145502e+05,2.810407e+06,4.835298e+00,2.766514e-03
1.210688e-04,1.357034e+04,6.565448e-01,5.556890e+04,7.094764e+05,2.790449e+06,4.801044e+00,2.747309e-03
1.227964e-04,1.347548e+04,6.519551e-01,5.518045e+04,7.045812e+05,2.771193e+06,4.766789e+00,2.728104e-03
1.245487e-04,1.338062e+04,6.473653e-01,5.479200e+04,6.996937e+05,2.751968e+06,4.732535e+00,2.708900e-03
1.263261e-04,1.328576e+04,6.427756e-01,5.440355e+04,6.948062e+05,2.732742e+06,4.698752e+00,2.689695e-03
1.281287e-04,1.319090e+04,6.381858e-01,5.401510e+04,6.899187e+05,2.713517e+06,4.665862e+00,2.670490e-03
1.299571e-04,1.309603e+04,6.335961e-01,5.362664e+04,6.850312e+05,2.694291e+06,4.632973e+00,2.651285e-03
1.318116e-04,1.300295e+04,6.290924e-01,5.324548e+04,6.801437e+05,2.675066e+06,4.600083e+00,2.632440e-03
1.336926e-04,1.291218e+04,6.247008e-01,5.287379e+04,6.752803e+05,2.655935e+06,4.567512e+00,2.614064e-03
