Energy_eV,Gd_0.1pct_Sigma_total_cm-1,Gd_0.1pct_Sigma_dopant_cm-1,Gd_0.3pct_Sigma_total_cm-1,Gd_0.3pct_Sigma_dopant_cm-1,Gd_0.5pct_Sigma_total_cm-1,Gd_0.5pct_Sigma_dopant_cm-1,B_0.1pct_Sigma_total_cm-1,B_0.1pct_Sigma_dopant_cm-1,B_0.3pct_Sigma_total_cm-1,B_0.3pct_Sigma_dopant_cm-1,B_0.5pct_Sigma_total_cm-1,B_0.5pct_Sigma_dopant_cm-1,Li_0.1pct_Sigma_total_cm-1,Li_0.1pct_Sigma_dopant_cm-1,Li_0.3pct_Sigma_total_cm-1,Li_0.3pct_Sigma_dopant_cm-1,Li_0.5pct_Sigma_total_cm-1,Li_0.5pct_Sigma_dopant_cm-1
1.486964e-05,6.827249e+00,5.912588e+00,1.865059e+01,1.773776e+01,3.047394e+01,2.956294e+01,1.003191e+01,9.117253e+00,2.826459e+01,2.735176e+01,4.649726e+01,4.558626e+01,4.566662e+00,3.652000e+00,1.186883e+01,1.095600e+01,1.917100e+01,1.826000e+01
1.508183e-05,6.779624e+00,5.871419e+00,1.852064e+01,1.761426e+01,3.026166e+01,2.935710e+01,9.962272e+00,9.054068e+00,2.806859e+01,2.716220e+01,4.617491e+01,4.527034e+01,4.534895e+00,3.626691e+00,1.178646e+01,1.088007e+01,1.903802e+01,1.813346e+01
1.529705e-05,6.732044e+00,5.830252e+00,1.839074e+01,1.749075e+01,3.004944e+01,2.915126e+01,9.892676e+00,8.990883e+00,2.787264e+01,2.697265e+01,4.585260e+01,4.495442e+01,4.503175e+00,3.601382e+00,1.170413e+01,1.080415e+01,1.890509e+01,1.800691e+01
1.551534e-05,6.684509e+00,5.789083e+00,1.826088e+01,1.736725e+01,2.983726e+01,2.894542e+01,9.823125e+00,8.927699e+00,2.767673e+01,2.678310e+01,4.553033e+01,4.463849e+01,4.471499e+00,3.576073e+00,1.162185e+01,1.072822e+01,1.877221e+01,1.788036e+01
1.573675e-05,6.637019e+00,5.747915e+00,1.813107e+01,1.724374e+01,2.962512e+01,2.873957e+01,9.753619e+00,8.864514e+00,2.748087e+01,2.659354e+01,4.520811e+01,4.432257e+01,4.439868e+00,3.550764e+00,1.153962e+01,1.065229e+01,1.863936e+01,1.775382e+01
1.596131e-05,6.589575e+00,5.706747e+00,1.800130e+01,1.712024e+01,2.941303e+01,2.853373e+01,9.684157e+00,8.801329e+00,2.728505e+01,2.640399e+01,4.488594e+01,4.400664e+01,4.408283e+00,3.525454e+00,1.145742e+01,1.057636e+01,1.850657e+01,1.762727e+01
1.618908e-05,6.542297e+00,5.665701e+00,1.787194e+01,1.699710e+01,2.920159e+01,2.832850e+01,9.614740e+00,8.738144e+00,2.708927e+01,2.621443e+01,4.456381e+01,4.369072e+01,4.376741e+00,3.500145e+00,1.137528e+01,1.050044e+01,1.837381e+01,1.750073e+01
1.642010e-05,6.496866e+00,5.626458e+00,1.774804e+01,1.687937e+01,2.899921e+01,2.813229e+01,9.545890e+00,8.675483e+00,2.689511e+01,2.602645e+01,4.424434e+01,4.337741e+01,4.345454e+00,3.475046e+00,1.129380e+01,1.042514e+01,1.824215e+01,1.737523e+01
1.665441e-05,6.451478e+00,5.587215e+00,1.762418e+01,1.676165e+01,2.879688e+01,2.793608e+01,9.479287e+00,8.615024e+00,2.670760e+01,2.584507e+01,4.393592e+01,4.307512e+01,4.315091e+00,3.450829e+00,1.121502e+01,1.035249e+01,1.811495e+01,1.725414e+01
1.689207e-05,6.406134e+00,5.547973e+00,1.750036e+01,1.664392e+01,2.859459e+01,2.773986e+01,9.412726e+00,8.554565e+00,2.652014e+01,2.566369e+01,4.362755e+01,4.277282e+01,4.284772e+00,3.426611e+00,1.113628e+01,1.027983e+01,1.798778e+01,1.713305e+01
